id	name	file	license	author	source_url
250	клубника	Garden strawberry (Fragaria × ananassa) halved.jpg	CC BY-SA 4.0	Ivar Leidus	https://commons.wikimedia.org/wiki/File:Garden_strawberry_(Fragaria_%C3%97_ananassa)_halved.jpg
sk-915	клюква	Fresh Cranberry-Orange Sauce.jpg	CC BY-SA 4.0	DrKathyShaginaw	https://commons.wikimedia.org/wiki/File:Fresh_Cranberry-Orange_Sauce.jpg
7791	козлятина	Raw meat.png	CC BY-SA 4.0	Issac Gyamfi	https://commons.wikimedia.org/wiki/File:Raw_meat.png
2657	кокос	Coconut (halved) (3330701660).jpg	CC BY 2.0	Chandrika Nair from Cochin, India	https://commons.wikimedia.org/wiki/File:Coconut_(halved)_(3330701660).jpg
7340	кола	Mexican Coca Cola.jpg	CC BY 2.0	Mike Mozart	https://commons.wikimedia.org/wiki/File:Mexican_Coca_Cola.jpg
sk-312	колбаса варёная	Колбаса в оболочке Биолон Шейп.jpg	Public domain	gvsp	https://commons.wikimedia.org/wiki/File:%D0%9A%D0%BE%D0%BB%D0%B1%D0%B0%D1%81%D0%B0_%D0%B2_%D0%BE%D0%B1%D0%BE%D0%BB%D0%BE%D1%87%D0%BA%D0%B5_%D0%91%D0%B8%D0%BE%D0%BB%D0%BE%D0%BD_%D0%A8%D0%B5%D0%B9%D0%BF.jpg
4106	колбаса кровяная	Blood sausage hrvatska.jpg	CC0	Gvjekoslav	https://commons.wikimedia.org/wiki/File:Blood_sausage_hrvatska.jpg
6358	колбаса ливерная	Wurstteller mit Bierschinken, geräucherte Leberwurst und Blutwurst.jpg	CC BY 2.5	Peng 13:23, 6 August 2007 (UTC)	https://commons.wikimedia.org/wiki/File:Wurstteller_mit_Bierschinken,_ger%C3%A4ucherte_Leberwurst_und_Blutwurst.jpg
custom-59	кольраби	Brassica oleracea var. gongylodes (kohlrabi).jpg	CC0	Unknown	https://commons.wikimedia.org/wiki/File:Brassica_oleracea_var._gongylodes_(kohlrabi).jpg
sk-353	корейка	Pork loin (1027276219).jpg	CC BY 2.0	Father.Jack from Coventry, UK	https://commons.wikimedia.org/wiki/File:Pork_loin_(1027276219).jpg
sk-802	корень петрушки	Parsley plant.jpg	CC BY-SA 4.0	Aisha.shipanga	https://commons.wikimedia.org/wiki/File:Parsley_plant.jpg
sk-795	корень сельдерея	Céleri-rave-fendu.jpg	CC BY-SA 3.0	DocteurCosmos	https://commons.wikimedia.org/wiki/File:C%C3%A9leri-rave-fendu.jpg
custom-7	кориандр	Coriandrum sativum Blattläuse, Josef Schlaghecken.jpg	CC BY 4.0	Schlaghecken Josef	https://commons.wikimedia.org/wiki/File:Coriandrum_sativum_Blattl%C3%A4use,_Josef_Schlaghecken.jpg
custom-3	корица	Canelle Cinnamomum burmanni Luc Viatour.jpg	CC BY-SA 3.0	Luc Viatour	https://commons.wikimedia.org/wiki/File:Canelle_Cinnamomum_burmanni_Luc_Viatour.jpg
4378	кофе	Roasted coffee beans.jpg	Public domain	MarkSweep	https://commons.wikimedia.org/wiki/File:Roasted_coffee_beans.jpg
sk-492	краб	Carcinus maenas.jpg	CC BY-SA 4.0	Hans Hillewaert	https://commons.wikimedia.org/wiki/File:Carcinus_maenas.jpg
custom-20	крахмал картофельный	Mitarashi dango by yomi955 in Kyoto.jpg	CC BY 2.0	yomi955	https://commons.wikimedia.org/wiki/File:Mitarashi_dango_by_yomi955_in_Kyoto.jpg
custom-21	крахмал кукурузный	Bombay Halwa, Karachi Halwa.jpg	CC BY-SA 4.0	Rupamdas75	https://commons.wikimedia.org/wiki/File:Bombay_Halwa,_Karachi_Halwa.jpg
sk-495	креветка	Shrimp or prawn from Barra de Navidad, Jalisco.png	CC0	Heterotrofo	https://commons.wikimedia.org/wiki/File:Shrimp_or_prawn_from_Barra_de_Navidad,_Jalisco.png
7473	крекеры	Cream crackers with cheese spread.jpg	CC BY-SA 2.0	AnemoneProjectors	https://commons.wikimedia.org/wiki/File:Cream_crackers_with_cheese_spread.jpg
895	кресс-салат	Watercress (2).JPG	CC BY 3.0	Masparasol	https://commons.wikimedia.org/wiki/File:Watercress_(2).JPG
